country,capital_city,latitude,longitude
nigeria,abuja,9.0574,7.4898
niue,alofi,-19.0585,-169.9213
northern mariana islands,saipan,15.2123,145.7545
norway,oslo,59.9127,10.7461
oman,muscat,23.6139,58.5922
pakistan,islamabad,33.7035,73.0594
palau,koror,7.3426,134.4789
panama,panama city,8.9958,-79.5196
papua new guinea,port moresby,-9.4431,147.1797
paraguay,asunción,-25.3007,-57.6359
peru,lima,-12.0432,-77.0282
philippines,manila,14.6042,120.9822
poland,warsaw,52.2298,21.0118
portugal,lisbon,38.7169,-9.1399
puerto rico,san juan,18.4663,-66.1057
qatar,doha,25.2747,51.5245
republic of korea,seoul,37.5683,126.9778
republic of moldova,chişinău,47.0056,28.8575
réunion,saint-denis,-20.8823,55.4504
romania,bucharest,44.4328,26.1043
russian federation,moscow,55.755,37.6218
rwanda,kigali,-1.9474,30.0579
saint helena,jamestown,-15.9387,-5.7168
saint kitts and nevis,basseterre,17.2948,-62.7261
saint lucia,castries,14.006,-60.991
saint pierre and miquelon,saint-pierre,46.7738,-56.1815
saint vincent and the grenadines,kingstown,13.1587,-61.2248
samoa,apia,-13.8333,-171.7667
san marino,san marino,43.9333,12.45
sao tome and principe,são tomé,0.3365,6.7273
saudi arabia,riyadh,24.6905,46.7096
senegal,dakar,14.6937,-17.4441
serbia,belgrade,44.8176,20.4633
seychelles,victoria,-4.6167,55.45
sierra leone,freetown,8.484,-13.2299
singapore,singapore,1.2897,103.8501
sint maarten (dutch part),philipsburg,18.026,-63.0458
slovakia,bratislava,48.1482,17.1067
slovenia,ljubljana,46.0511,14.5051
solomon islands,honiara,-9.4333,159.95
somalia,mogadishu,2.0416,45.3435
south africa,cape town,-33.9258,18.4232
south sudan,juba,4.8517,31.5825
spain,madrid,40.4165,-3.7026
sri lanka,colombo,6.9319,79.8478
state of palestine,al-quds[east jerusalem],31.7834,35.2339
sudan,khartoum,15.5518,32.5324
suriname,paramaribo,5.8664,-55.1668
swaziland,mbabane,-26.3167,31.1333
sweden,stockholm,59.3326,18.0649
switzerland,bern,46.9481,7.4474
syrian arab republic,damascus,33.5086,36.3084
tajikistan,dushanbe,38.5358,68.7791
tfyr macedonia,skopje,42.0,21.4333
thailand,bangkok,13.722,100.5252
timor-leste,dili,-8.5601,125.5668
togo,lomé,6.1375,1.2123
tokelau,tokelau,-9.38,-171.25
tonga,nuku'alofa,-21.1394,-175.2032
trinidad and tobago,port of spain,10.6662,-61.5166
tunisia,tunis,36.819,10.1658
turkey,ankara,39.9199,32.8543
turkmenistan,ashgabat,37.95,58.3833
turks and caicos islands,cockburn town,21.4612,-71.1419
tuvalu,funafuti,-8.5189,179.1991
uganda,kampala,0.3163,32.5822
ukraine,kiev,50.4454,30.5186
united arab emirates,abu dhabi,24.4648,54.3618
united kingdom,london,51.5085,-0.1257
united republic of tanzania,dodoma,-6.1722,35.7395
united states of america,"washington, d.c.",38.8951,-77.0364
united states virgin islands,charlotte amalie,18.3419,-64.9307
uruguay,montevideo,-34.8335,-56.1674
uzbekistan,tashkent,41.2647,69.2163
vanuatu,port vila,-17.7338,168.3219
venezuela (bolivarian republic of),caracas,10.488,-66.8792
viet nam,hà noi,21.0245,105.8412
wallis and futuna islands,matu-utu,-13.2816,-176.1745
western sahara,el aaiún,27.1532,-13.2014
yemen,sana'a',15.3531,44.2078
zambia,lusaka,-15.4134,28.2771
zimbabwe,harare,-17.8294,31.0539
